Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
CBLB_PTPRF	-0.703215227770203	-1.67818781394772	-1.74850933672474	1	0.0290283209396354	0.693695482641568	2.74635718191331	2.83334872064546	4.20652731160211	16	5.05131371738222e-74	5.0851217225773e-74	1.64697966503217
FOXP3_TBX21	-0.065885985816152	-1.73747186029421	-1.75064905745744	2	0.0294174701091498	0.696485843232372	3.04711809366871	3.34510760731116	4.86866665414552	16	4.82644474994943e-89	5.12509104054016e-89	1.64240366730993
CTLA4_DNMT3A	-0.569977667590005	-1.52785518512237	-1.75584625215838	4	0.0303807441562197	0.705077902817299	3.7137118642307	4.44466982065332	6.30152575276867	13	2.12779588246974e-126	4.49650749708687e-126	1.63128896867189
NDFIP1_RNF128	-0.728446214916422	-1.61260009573183	-1.75828933871512	2	0.0308425080035355	0.705077902817299	3.39083800292207	3.82637585056726	5.5217948520283	16	3.01746574061348e-105	3.86556107151736e-105	1.62606419407957
PELI1_PIK3IP1	-0.835948631706908	-1.50901268040827	-1.75979726992034	3	0.0311304083945848	0.705077902817299	3.4292935917444	3.87840246673884	5.59304926261104	16	4.24986256769482e-107	5.6392831269308e-107	1.62283933877255
DUSP4_SOCS1	0.552181716761816	-1.81586061137083	-1.76064243969465	1	0.031292741568166	0.705077902817299	3.14731582037416	3.25573385367029	4.82939176385737	16	4.11211400622936e-88	4.33416138249319e-88	1.62103186226263
CMIP_SUV39H1	-0.464177379366871	-1.66885579848149	-1.76169127435486	2	0.0314951657839901	0.705077902817299	3.10175484294047	3.41369702066715	4.96457444213739	16	2.45796324030486e-91	2.65975962990246e-91	1.61878882888787
CBLB_PTPN7	-0.972630514981354	-1.4717624040987	-1.7635515585931	3	0.0318568612530788	0.705077902817299	2.46539965232833	2.68613951277212	3.91883933893629	16	6.13341111591841e-68	6.14542798722702e-68	1.61481043287253
FGL2_TRAF6	-0.584353420386144	-1.58847801156035	-1.7637840376762	3	0.031902302446399	0.705077902817299	3.06782864438234	3.32172686578856	4.85564118797973	16	9.8346411021526e-89	1.04085998750845e-88	1.61431325408725
DUSP6_WWP2	-0.309534053478897	-1.70320655938081	-1.76511337007659	2	0.0321631678869206	0.705077902817299	3.2844471750642	3.63171712981098	5.27394071734308	16	6.18395202352159e-99	7.17114073657356e-99	1.61147034942996
